season,week,team,stadium,mov,expected_mov,error,games_played,win,loss,tie,wins_l16,losses_l16,ties_l16,mov_l16,hfa_l16,wins_l80,losses_l80,ties_l80,mov_l80,hfa_l80,wins_all_time,losses_all_time,ties_all_time,mov_all_time,hfa_all_time
2006,1,ARI,PHO00,7.0,2.705,4.295,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.295,1.0,0.0,0.0,7.0,4.295,1.0,0.0,0.0,7.0,4.295
2006,2,ARI,PHO00,,,,,,,,1.0,0.0,0.0,7.0,4.295,1.0,0.0,0.0,7.0,4.295,1.0,0.0,0.0,7.0,4.295
2006,3,ARI,PHO00,-2.0,-3.527,1.527,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.5,2.911,1.0,1.0,0.0,2.5,2.911,1.0,1.0,0.0,2.5,2.911
2006,4,ARI,PHO00,,,,,,,,1.0,1.0,0.0,2.5,2.911,1.0,1.0,0.0,2.5,2.911,1.0,1.0,0.0,2.5,2.911
2006,5,ARI,PHO00,-3.0,-8.681,5.681,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.667,3.834,1.0,2.0,0.0,0.667,3.834,1.0,2.0,0.0,0.667,3.834
2006,6,ARI,PHO00,-1.0,-13.842,12.842,4.0,0.0,1.0,0.0,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086
2006,7,ARI,PHO00,,,,,,,,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086
2006,8,ARI,PHO00,,,,,,,,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086
2006,9,ARI,PHO00,,,,,,,,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086,1.0,3.0,0.0,0.25,6.086
2006,10,ARI,PHO00,-17.0,-9.486,-7.514,5.0,0.0,1.0,0.0,1.0,4.0,0.0,-3.2,3.366,1.0,4.0,0.0,-3.2,3.366,1.0,4.0,0.0,-3.2,3.366
2006,11,ARI,PHO00,7.0,-3.213,10.213,6.0,1.0,0.0,0.0,2.0,4.0,0.0,-1.5,4.507,2.0,4.0,0.0,-1.5,4.507,2.0,4.0,0.0,-1.5,4.507
2006,12,ARI,PHO00,,,,,,,,2.0,4.0,0.0,-1.5,4.507,2.0,4.0,0.0,-1.5,4.507,2.0,4.0,0.0,-1.5,4.507
