team,team_fastr,stadium,is_current,stadium_name,lat,lon,altitude,heading,first_game_date,last_game_date,surface_type,roof_type,address,city,state,zipcode,country,tz,tz_offset,wikipedia_url,img_sat_url,img_logo_url,img_shot_url,website,nicknames,owner,operator,capacity,broke_ground,opened,closed,demolished,construction_cost,construction_cost_2023,renovation_years,expansion_years,architects,wins_l16,losses_l16,ties_l16,mov_l16,hfa_l16,wins_l80,losses_l80,ties_l80,mov_l80,hfa_l80,wins_all_time,losses_all_time,ties_all_time,mov_all_time,hfa_all_time
ARI,ARI,PHO00,True,State Farm Stadium,33.5277555,-112.2625948,325.7411644,328,2006-09-10,2025-12-21,Grass,Retractable,1 West Cardinals Drive,Glendale,Arizona,85305,United States,America/Phoenix,-7,https://en.wikipedia.org//wiki/State_Farm_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/PHO00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/State_Farm_Stadium_logo.svg/220px-State_Farm_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/State_Farm_Stadium_2022.jpg/250px-State_Farm_Stadium_2022.jpg,https://www.statefarmstadium.com/,,Arizona Sports and Tourism Authority,ASM Global,63400.0,2003.0,2006,,,455000000.0,688000000.0,"2014, 2017",,"Eisenman Architects, Populous",5.0,3.0,0.0,8.75,8.631,14.0,24.0,0.0,-1.342,1.202,81.0,73.0,2.0,0.603,2.13
ATL,ATL,ATL97,True,Mercedes-Benz Stadium,33.7555052,-84.4008484,307.3689347,80,2017-09-17,2026-01-04,Turf,Retractable,"1414 Andrew Young International Blvd,  Castleberry Hill",Atlanta,Georgia,30313,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/ATL97.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Mercedes-Benz_Stadium_logo.svg/150px-Mercedes-Benz_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mercedes-Benz_Stadium_Interior_in_2024.jpg/250px-Mercedes-Benz_Stadium_Interior_in_2024.jpg,https://mercedesbenzstadium.com/,The Benz,Georgia World Congress Center Authority,AMB Sports and Entertainment Group,71000.0,2014.0,2017,,,1600000000.0,1990000000.0,,,"HOK, tvsdesign",4.0,3.0,0.0,5.286,8.851,18.0,18.0,0.0,-0.222,2.705,32.0,36.0,0.0,0.529,1.404
BAL,BAL,BAL00,True,M&T Bank Stadium,39.277958,-76.6227221,3.079367761,290,1999-09-19,2025-12-21,Grass,Outdoors,1101 Russell Street,Baltimore,Maryland,21230,United States,America/New_York,-5,https://en.wikipedia.org//wiki/M%26T_Bank_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BAL00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/M%26T_Bank_Stadium_Logo.svg/150px-M%26T_Bank_Stadium_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/M%26T_Bank_Stadium_Aerial_2022.jpg/250px-M%26T_Bank_Stadium_Aerial_2022.jpg,https://www.baltimoreravens.com/stadium/,"The Bank, Ravens Flock, The Vault, The Big Crabcake",Maryland Stadium Authority,Baltimore Ravens,,1996.0,1998,,,220000000.0,411000000.0,,,HOK Sport (now Populous),5.0,4.0,0.0,4.111,-2.136,24.0,15.0,0.0,6.051,1.722,150.0,64.0,0.0,7.818,4.209
BUF,BUF,BUF00,True,New Era Field,42.7737531,-78.786954,218.2993413,302,1999-09-19,2026-01-04,Turf,Outdoors,"Highmark Blue Cross Blue Shield Stadium,  Bills Drive",Orchard Park,New York,14127,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Highmark_Stadium_(New_York),https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BUF00.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Highmark_Stadium_%28New_York%29_logo.svg/220px-Highmark_Stadium_%28New_York%29_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Highmark_Stadium%2C_autumn_2022.jpg/250px-Highmark_Stadium%2C_autumn_2022.jpg,https://www.buffalobills.com/stadium/,The Ralph,Erie County,Buffalo Bills,71608.0,1972.0,1973,,,22000000.0,151000000.0,"1998, 2013",,"HNTB, Populous",8.0,1.0,0.0,9.556,-0.79,31.0,6.0,0.0,13.189,3.601,122.0,83.0,0.0,3.298,3.121
CAR,CAR,CAR00,True,Bank of America Stadium,35.2258152,-80.8528376,220.996142,320,1999-09-19,2025-12-28,Grass,Outdoors,"800 South Mint Street,  Third Ward,  Uptown",Charlotte,North Carolina,28202,United States,America/New_York,-5,https://en.wikipedia.org//wiki/Bank_of_America_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CAR00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bank_of_America_Stadium_logo.png/220px-Bank_of_America_Stadium_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/BofAStadium2015.JPG/250px-BofAStadium2015.JPG,https://www.panthers.com/stadium/,"The Bank, BofA, BoA",Tepper Sports and Entertainment,Tepper Sports and Entertainment,,1994.0,1996,,,500000000.0,,"2007, 2014, 2017, 2019, 2020","1997, 1998, 2005, 2007, 2008, 2014, 2015, 2017",Populous,5.0,3.0,0.0,2.625,13.502,14.0,23.0,0.0,-3.622,2.921,107.0,105.0,0.0,0.344,1.51
CHI,CHI,CHI98,True,Soldier Field,41.8624598,-87.6167762,177.3216557,356,1999-09-12,2026-01-04,Grass,Outdoors,"425 East Waldron Drive,  South Loop,  Near South Side",Chicago,Illinois,60605,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Soldier_Field,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CHI98.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Soldier_Field_Logo.svg/200px-Soldier_Field_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Soldier_Field_S.jpg/250px-Soldier_Field_S.jpg,https://www.soldierfield.com/,,Chicago Park District,SMG,66944.0,1922.0,1924,2002.0,,,,"2002, 2003",,"Holabird & Roche (original)Wood + Zapata, Inc.Lohan Caprile Goettsch Architects (renovations), Holabird & Roche, Wood + Zapata, Inc.",1.0,6.0,0.0,-3.714,2.564,15.0,23.0,0.0,0.158,3.477,106.0,97.0,0.0,1.404,2.627
CIN,CIN,CIN00,True,Paycor Stadium,39.0954306,-84.5160435,146.4175612,321,2000-09-10,2026-01-04,Turf,Outdoors,"Paul Brown Stadium,  West Freedom Way,  The Banks",Cincinnati,Ohio,45202-2209,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Paycor_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CIN00.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Paycor_Stadium_logo.svg/200px-Paycor_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Paul_Brown_Stadium_interior_2017.jpg/250px-Paul_Brown_Stadium_interior_2017.jpg,,The Jungle,Hamilton County,Cincinnati Bengals,65515.0,1998.0,2000,,,455000000.0,805000000.0,,,"NBBJ, Moody Nolan",4.0,3.0,0.0,0.857,-1.268,22.0,15.0,0.0,2.514,2.059,109.0,91.0,2.0,0.475,2.069
CLE,CLE,CLE00,True,FirstEnergy Stadium,41.5060371,-81.699586,177.3562525,56,1999-09-12,2025-12-28,Grass,Outdoors,"100 Alfred Lerner Way,  The Flats,  Warehouse District",Cleveland,Ohio,44113,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Huntington_Bank_Field,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CLE00.png,,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Huntington_Bank_Field.jpg/220px-Huntington_Bank_Field.jpg,https://huntingtonbankfield.com/,,City of Cleveland,Cleveland Browns,67431.0,1997.0,1999,,,283000000.0,518000000.0,,,HOK Sport,3.0,5.0,0.0,-5.375,3.768,22.0,16.0,0.0,0.921,2.904,87.0,123.0,1.0,-3.005,2.388
DAL,DAL,DAL00,True,AT&T Stadium,32.7479723,-97.0928461,242.5335228,69,2009-09-20,2025-12-21,Turf,Retractable,900 East Randol Mill Road,Arlington,Texas,76011,United States,America/Chicago,-6,https://en.wikipedia.org//wiki/AT%26T_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DAL00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/AT%26T_Stadium_logo.svg/175px-AT%26T_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg/250px-Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg,https://attstadium.com/,"Jerry’s World, The Palace in Dallas, The Cowboys Cathedral",,Dallas Cowboys,80000.0,2005.0,2009,,,1300000000.0,1850000000.0,,,"HKS, Inc.",3.0,4.0,1.0,-6.375,-4.545,26.0,11.0,1.0,7.632,4.28,77.0,54.0,1.0,4.061,2.192
DEN,DEN,DEN00,True,Empower Field at Mile High,39.7439402,-105.0201065,1583.586238,0,2001-09-10,2026-01-04,Grass,Outdoors,"1701 Mile High Stadium Circle,  Jefferson Park",Denver,Colorado,80204,United States,America/Denver,-7,https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DEN00.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Empower_Field_logo.svg/150px-Empower_Field_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Empower_Field_at_Mile_High_20241001.jpg/250px-Empower_Field_at_Mile_High_20241001.jpg,https://www.empowerfieldatmilehigh.com/,,Metropolitan Football Stadium District,,76125.0,1999.0,2001,,,400900000.0,733000000.0,,,"HNTBFentress ArchitectsBertram A. Burton and Associates, HNTB, Fentress Architects",7.0,0.0,0.0,20.571,17.088,21.0,17.0,0.0,4.316,6.268,122.0,74.0,0.0,3.735,2.879
